0,Sentence,Part1 Sentiment,Part2 Sentiment,Transition Word
11,ನಮ್ಮಲ್ಲಿ ಹೆಚ್ಚಿನವರು ಏನೆಲ್ಲ ಕಿರಿಕಿರಿಯನ್ನು ತುಟಿಪಿಟಕ್ಕೆನ್ನದೆ ಸಹಿಸಿಕೊಂಡೇ ಬದುಕುತ್ತಿದ್ದೇವೆ ಆದರೆ ನಾನು ಮೈಕಿನ ಈ ಕಿರಿಕಿರಿಯಿಂದ ಸ್ವಲ್ಪ ಮಟ್ಟಿಗಾದರೂ ತಪ್ಪಿಸಿಕೊಳ್ಳಲು ಸಣ್ಣ ಪ್ರಯತ್ನ ಮಾಡುತ್ತಿದ್ದೇನೆ,Negetive,Negetive,ಆದರೆ
12,ಯಾರೂ ಸಮರ್ಪಕ ಉತ್ತರ ಕೊಡುವುದಿಲ್ಲ ಆದರೆ ಈ ಪ್ರಶ್ನೆ ಕೇಳಿದರೆ ಎಲ್ಲರಿಗೂ ಸಿಟ್ಟು ಬರುತ್ತದೆ,Negetive,Negetive,ಆದರೆ
13,ಅನೇಕ ನಾಗರಿಕರಿಗೆ ಕಿರಿಕಿರಿಯಾಗುತ್ತಿದ್ದರೂ ಸಹ ಸೂಕ್ತ ಮಾಹಿತಿಯ ಕೊರತೆಯಿಂದ ಅಂಥವರು ಅಸಹಾಯಕರಾಗಿದ್ದಾರೆ ಆದ್ದರಿಂದ ಇನ್ನು ಮುಂದೆ ಧ್ವನಿವರ್ಧಕ ಬಳಸಲು ಅನುಮತಿ ನೀಡುವಾಗ ಅನುಮತಿ ಪಡೆದವರು ಈ ಕೆಳಗಿನ ಮಾಹಿತಿಗಳನ್ನು ಸಾರ್ವಜನಿಕರಿಗೆ ಕಡ್ಡಾಯವಾಗಿ ನೀಡುವಂತೆ ಅವರಿಗೆ ಸೂಚಿಸಬೇಕಾಗಿ ಕೋರುತ್ತೇನೆ,Negetive,Nutral,ಆದ್ದರಿಂದ
14,ಬಯಲುಸೀಮೆಯ ಜನರ ಅದರಲ್ಲೂ ಹೆಂಗಸರ ಕಷ್ಟ ನನಗೆ ಚೆನ್ನಾಗಿ ಅರ್ಥವಾಗುತ್ತದೆ ಆದರೆ ಬಯಲು ಸೀಮೆಯ ಜನರ ಸಮಸ್ಯೆಗೆ ಪಶ್ಚಿಮ ಘಟ್ಟಗಳಿಂದ ನೀರು ಒಯ್ಯುವುದು ಪರಿಹಾರ ಅಲ್ಲ,Negetive,Negetive,ಆದರೆ
15,"ಸರಕಾರವೇನೋ ಕೆರೆಗಳ ಪುನರುಜ್ಜೀವನ ಎಂಬ ಹೆಸರಿನಲ್ಲಿ ಹಣವನ್ನು ನೀರಿನಂತೆ ಚೆಲ್ಲುತ್ತಿದೆ ಆದರೆ ಎಲ್ಲಿಯವರೆಗೆ ಜನರ ಸಾಮೂಹಿಕ ಸಹಭಾಗಿತ್ವ ಇಲ್ಲವೋ ""ನಮ್ಮ ಊರ ಕೆರೆಗೆ ನಾವೇ ಜವಾಬ್ದಾರರು"" ಎಂಬ ಭಾವನೆ ಪುನಃ ಬರುವುದಿಲ್ಲವೋ ಎಲ್ಲಿಯವರೆಗೆ ನಾವು ಪ್ರತಿಯೊಂದಕ್ಕೂ ಸರಕಾರದ ಕಡೆಗೆ ನೋಡುತ್ತಿರುತ್ತೇವೋ ಅಲ್ಲಿಯವರೆಗೂ ಸಮಸ್ಯೆಗೆ ಪರಿಹಾರವಿಲ್ಲ",Nutral,Negetive,ಆದರೆ
16,೧೯೧೩ರಲ್ಲಿ ನೇತ್ರಾವತಿ ನದಿ ಬತ್ತಿತ್ತು ಎಂದು ಮಾತ್ರ ತಿಳಿಸಲಾಗಿದೆ ಆದರೆ ವಿನಾಯಕ್ ಅವರು ಎರಡು ಮುಖ್ಯ ಪ್ರವಾಹಗಳ (೧೯೨೪ ೧೯೭೪) ಬಗ್ಗೆ ತಿಳಿಸೇ ಇಲ್ಲ,Negetive,Negetive,ಆದರೆ
17,ಮೇಲುನೋಟಕ್ಕೆ ಅದರಿಂದ ಯಾವ ತೊಂದರೆಯೂ ಆಗುವಂತೆ ಕಾಣುವುದಿಲ್ಲ ಆದರೆ ಸಮಸ್ಯೆ ಇಷ್ಟು ಸರಳ ಅಲ್ಲ,Positive,Negetive,ಆದರೆ
18,ವಾಸ್ತವವಾಗಿ ಪಶ್ಚಿಮ ಘಟ್ಟಗಳನ್ನು ಉಳಿಸಿಕೊಳ್ಳಲು ಮಾಡಬೇಕಾದ ಮೊದಲ ಕೆಲಸವೆಂದರೆ ಅಲ್ಲಿಗೆ ಮನುಷ್ಯಪ್ರವೇಶವನ್ನು ಸಾಧ್ಯವಾದಷ್ಟೂ ತಡೆಯುವುದು ಆದರೆ ಈ ಕಿರು ಜಲವಿದ್ಯುತ್ ಯೋಜನೆಗಳಿಂದಾಗಿ ಪಶ್ಚಿಮಘಟ್ಟಗಳು ತಮ್ಮ ಸ್ವರೂಪವನ್ನೇ ಕಳೆದುಕೊಳ್ಳಲಿವೆ,Nutral,Negetive,ಆದರೆ
19,ಪಶ್ಚಿಮಘಟ್ಟಕ್ಕೆ ಆಗುವ ಹಾನಿಯ ಕಲ್ಪನೆ ಬರಬಹುದು ಅಥವಾ ಆಗಲೂ ಬರುವುದು ಕಷ್ಟ,Negetive,Negetive,ಅಥವಾ
20,ಕರ್ನಾಟಕದ ವಿಷಯ ನಾನು ಹೇಳಲಾರೆ ಆದರೆ ದಕ ಜಿಲ್ಲೆಯಲ್ಲಂತೂ ಜೆಸಿಬಿಗಳು ಹಗಲು ರಾತ್ರೆಯ ವ್ಯತ್ಯಾಸವಿಲ್ಲದೆ ಸರ್ಪಯಜ್ನಕ್ಕೆ ತೊಡಗಿವೆ,Nutral,Nutral,ಆದರೆ
21,ಯಾವುದೇ ಕೀಟನಾಶಕ ಕೀಟಗಳನ್ನು ಮಾತ್ರ ನಾಶ ಮಾಡಲು ಶಕ್ತವಾಗಿರಬೇಕು ಹೊರತು ಅದನ್ನು ಸೇವಿಸಿದ ಇತರ ದೊಡ್ಡ ಪ್ರಾಣಿಗಳ ಮೇಲೆ ಮನುಷ್ಯರ ಮೇಲೆ ದುಷ್ಪರಿಣಾಮ ಉಂಟು ಮಾಡುವಂತಿರಬಾರದು,Nutral,Negetive,ಆದರೆ
22,ಹೀಗಾಗಿ ಮನಸ್ಸಿಗೆ ಕೊಂಚ ಬೇಸರವಾಗಿರುವುದು ನಿಜ ಆದರೆ ಹೋರಾಟವನ್ನು ಅರ್ಧಕ್ಕೆ ನಿಲ್ಲಿಸುವುದಿಲ್ಲ' ಎಂದು ಸ್ಪಷ್ಟಪಡಿಸಿದರು,Negetive,Nutral,ಆದರೆ
23,ಇದು ದೈವ ಕಾಟವೋ ಪ್ರೇತಚೇಷ್ಟೆಯೋ ಊರಿ ಗಂಟಿದ ಶಾಪವೋ ಗೊತ್ತಿಲ್ಲ ಆದರೆ ಈ ತಾಂಡಾದಲ್ಲಿ ಸಂಭವಿಸಿದ ಸರಣಿ ಸಾವಿಗೆ ಕಂಗೆಟ್ಟು ಗ್ರಾಮಸ್ಥರು ಊರನ್ನೇ ತೊರೆದ ವಿಚಿತ್ರ ಘಟನೆ ನಡೆದಿದೆ,Nutral,Negetive,ಆದರೆ
24,ನಿರ್ದೇಶಕ ಪ್ರೇಮ್ ಈಗ 'ದಿ ವಿಲನ್' ಸಿನಿಮಾ ಮಾಡುತ್ತಿದ್ದಾರೆ ಆದರೆ ಅವರು ಹೊಸ ವರ್ಷದ ಸಂಭ್ರಮದಲ್ಲಿರುವ ಶಿವರಾಜ್ ಕುಮಾರ್ ಮತ್ತು ಸುದೀಪ್ ಅಭಿಮಾನಿಗಳಿಗೆ ನಿರಾಸೆ ಮೂಡಿಸಿದ್ದಾರೆ,Nutral,Negetive,ಆದರೆ
25,ಇನ್ನು ಹಲವು ಸಚಿನ್ ದಾಖಲೆಯನ್ನು ಕೊಹ್ಲಿಗೆ ಮುರಿಯುವುದು ಕಷ್ಟವೇನಲ್ಲ ಆದರೆ ಇದೊಂದು ದಾಖಲೆ ಮುರಿಯುವುದು ಕೊಹ್ಲಿಗೆ ಕಷ್ಟವಾಗಬಹುದು ಎಂದು ಸೆಹ್ವಾಗ್ ಅಭಿಪ್ರಾಯಪಟ್ಟಿದ್ದಾರೆ,Positive,Negetive,ಆದರೆ
26,ಬರೀ ಚಿತ್ರ ನೋಡೀ ಕಥೆ ಕೇಳುವುದರಲ್ಲೇ ಸಮಾಧಾನಪಡಬೇಕಾದ ಸ್ಥಿತಿಗೆ ಬರಬಹುದೇನೋ  ಏಕೆಂದರೆ ಶೀಘ್ರವಾಗಿ ನಶಿಸುತ್ತಿರುವ ಜೀವಿಗಳ ಸಾಲಿನಲ್ಲಿ ಹುಲಿರಾಯನಿದ್ದಾನೆ,Nutral,Negetive,ಆದರೆ
27,"ಅವುಗಳನ್ನು ರಕ್ಷಿಸಲು ""ಪ್ರಾಜೆಕ್ಟ್ ಟೈಗರ್ "" ಎಂಬ ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ಚಾಲನೆ ದೊರಕಿತು ಆದರೆ ಅದನ್ನು ಕಟ್ಟುನಿಟ್ಟಾಗಿ ಪಾಲಿಸುವ ಇಚ್ಛಾಶಕ್ತಿಯ ಕೊರತೆಯಿಂದಾಗಿ ಇಂದು ಪರಿಸ್ಥಿತಿ ಇನ್ನೂ ಹಾಗೇ ಇದೆ",Positive,Negetive,ಆದರೆ
28,ನಿಜ ವನ್ಯಜೀವಿಗಳಿಗೆಲ್ಲ ನಾವು ಆಹಾರ ಒದಗಿಸುವುದು ಸಾಧ್ಯವಿಲ್ಲ  ಆದರೆ ಅವುಗಳ ಆಹಾರವನ್ನು ನಾವು ಕಸಿಯುತ್ತಿದ್ದೇವಲ್ಲ ! ಅದನ್ನು ನಿಲ್ಲಿಸಿದರೆ ಸಾಕು,Negetive,Negetive,ಆದರೆ
29,ಇಲ್ಲೆಲ್ಲಾ ಹುಲಿ ಬಂದು ಹೋಗಿತ್ತು ಅನ್ನುವ ಮಾತು ಈಗ ಯಾರು ಹೇಳುವುದಿಲ್ಲ ಏಕೆಂದರೆ ನಾನು ಹತ್ತಾರು ಸಲ ಬಂಢಿಪುರ ನಾಗರಹೊಳೆ ಕಬಿನಿ ಇತ್ಯಾದಿ ಕಾಡುಗಳಿಗೆ ಫೋಟೊತೆಗೆಯಲು ಹೋಗಿದ್ದೇನೆ ಒಮ್ಮೆಯೂ ಕಾಣಿಸಲಿಲ್ಲ,Nutral,Negetive,ಏಕೆಂದರೆ
30,ಮಧ್ಯಾಹ್ನದ ಬಿಸಿಯೂಟದ ಖಾತೆಗೆ ಮತ್ತೆ ಜಮಾ ಮಾಡಲಾಗಿದೆ ಆದರೆ ಇನ್ನೂ  ಕೋಟಿಯಷ್ಟು ಹಣ ನಿರ್ಮಾಣ ಸಂಸ್ಥೆ ಬಳಿಯೇ ಇದೆ,Positive,Nutral,ಆದರೆ
31,ಅರ್ನಬ್ ಗೋಸ್ವಾಮಿ ಟೌಮ್ಸ್ ನೆಟ್ ವರ್ಕನ್ನು ತೊರೆಯಲಿದ್ದಾರೆ ಆದರೆ ಪತ್ರಿಕೋದ್ಯಮದಲ್ಲೇ ಮುಂದುವರಿಯಲಿರುವ ಅರ್ನಬ್ ಅವರ ಮುಂದಿನ ಯೋಜನೆ ಏನು ಎಂಬುದು ಇನ್ನೂ ಗೊತ್ತಾಗಿಲ್ಲ,Negetive,Nutral,ಆದರೆ
32,ರಾಜ್ಯದಲ್ಲಿ ಉತ್ತಮ ಮಳೆಯಾಗಿದ್ದು ರೈತರ ಮುಖದಲ್ಲಿ ಮಂದಹಾಸ ಉಂಟುಮಾಡಿದೆ ಆದರೆ ಇನ್ನೂ  ಜಿಲ್ಲೆಗಳು ಮಳೆಯಿಲ್ಲದೆ ಬರಗಾಲ ಎದುರಿಸುತ್ತಿವೆ,Positive,Negetive,ಆದರೆ
33,ಯಡಿಯೂರಪ್ಪ ಅವರು ಸಂಧಾನ ಮಾಡಲು ಪ್ರಯತ್ನಿಸಿದ್ದಾರೆ ಆದರೆ ತಿಪ್ಪೇಸ್ವಾಮಿ ಬೆಂಗಳೂರಿಗೆ ಬರಲಿಲ್ಲ,Nutral,Negetive,ಆದರೆ
34,ನಿಮ್ಮ ಉಬುಂಟು ಮತ್ತೆ ಬೂಟ್ ಆಗದಿರಬಹುದು ಅಥವಾ ನಿಮಗೆ ತಂತ್ರಾಂಶಗಳಲ್ಲಿ ತೊಂದರೆ ಕಂಡುಬರಬಹುದು,Negetive,Negetive,ಅಥವಾ
35,ಈ ಜೋಡಿಯು ಟೆನಿಸ್ ಜಗತ್ತಿನಲ್ಲಿ 'ಇಂಡೋ-ಪಾಕ್ ಎಕ್ಸ್ಪ್ರೆಸ್' ಎಂದೇ ಪ್ರಖ್ಯಾತವಾಗಿತ್ತು ಆದರೆ ಅದೇನು ಕಾಯಿಲೆ ಬಂತೋ ಈ ವಿಜಯಿ ಜೋಡಿ ಮುರಿದು ದೂರಾಯಿತು,Nutral,Negetive,ಆದರೆ
36,ಇದನ್ನು ತೆಗೆದುಕೊಂಡಾಕ್ಷಣ ನೋವು ನಿವಾರಣೆಯಾಗುತ್ತೆ ನಿಜ ಆದರೆ ಅದರಿಂದ ನಮ್ಮ ಆರೋಗ್ಯಕ್ಕೆ ಎಷ್ಟು ಹಾನಿಯಾಗುತ್ತದೆ ಎಂಬುದನ್ನು ನಾವು ಅರಿತುಕೊಳ್ಳಬೇಕು,Positive,Negetive,ಆದರೆ
37,ಶುಭ ಕಾರ್ಯದಲ್ಲಿ ಪಟಾಕಿ ಸಿಡಿಗುಂಡು ಸಿಡಿಸೋದು ಕಾಮನ್ ಆದರೆ ಈ ಸಂಭ್ರಮ ಇಲ್ಲಿ ಒಂದು ಜೀವವನ್ನೇ ಬಲಿ ಪಡೆದಿದೆ,Nutral,Negetive,ಆದರೆ
38,ಕೆಲವರು ರೋಗಿಯ ಪತಿಗೆ ಉಳಿದ ಮೊತ್ತ ಪಾವತಿಸುವಂತೆ ಸೂಚಿಸಿದ್ದಾರೆ ಆದರೆ ಇದನ್ನು ಆಡಳಿತ ಮಂಡಳಿ ಮಾಡಿಲ್ಲ  ಎಂದಿದ್ದಾರೆ,Positive,Negetive,ಆದರೆ
39,ಆ ಕೆಲಸವಾಗಿದ್ದರೆ ಅನೇಕರಿಗೆ ಕೆಲಸ ಸಿಗುತ್ತಿತ್ತು ಆದರೆ ಈ ಪ್ರಯತ್ನವನ್ನು ಕೈಬಿಡುವುದಿಲ್ಲ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸುತ್ತೇನೆ ಎಂದಿದ್ದಾರೆ,Positive,Positive,ಆದರೆ
40,ಯುವತಿಯರು ಕತ್ರಿನಾ ಜೊತೆ ಫೋಟೋ ತೆಗೆಸಿಕೊಳ್ಳಬೇಕು ಎಂದು ಕಾದಿದ್ದರು ಆದರೆ ಕತ್ರಿನಾ ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ತುಂಬಾ ಆಯಾಸಗೊಂಡಿದ್ದ ಕಾರಣ ಅವರು ಅಭಿಮಾನಿಗಳ ಜೊತೆ ಫೋಟೋ ಕ್ಲಿಕ್ಕಿಸಲು ಸ್ವಲ್ಪ ತಡ ಮಾಡಿದ್ದರು,Positive,Negetive,ಆದರೆ
41,ಇನ್ನು ಶ್ರೀಲಂಕಾ ಪ್ಯಾಕೇಜ್ ನಲ್ಲಿ ಕಂಡ್ಯಾ ನುವಾರ ಎಲಿಯಾ ಕೊಲಂಬೋ ನೆಗೊಂಬೋ ಪ್ರದೇಶಗಳನ್ನು ವೀಕ್ಷಿಸಬಹುದಾಗಿದೆ ಆದರೆ ಇದಕ್ಕೆ ಪ್ರತ್ಯೇಕ ಶುಲ್ಕ ಭರಿಸಬೇಕಾಗುತ್ತದೆ,Positive,Negetive,ಆದರೆ
42,ಹಿಂದಿನ ಪಂದ್ಯದಲ್ಲಿ ಬೆಂಗಳೂರು ತಂಡಕ್ಕೆ ಋತುವಿನ ಮೊದಲ ಸೋಲಿನ ಕಹಿ ನೀಡಲು ನಾರ್ತ್ ಈಸ್ಟ್ ಸಜ್ಜಾಗಿತ್ತು ಆದರೆ ಚೆಂಕೊ ಗೈಲ್ಷೇನ್ ಗಳಿಸಿದ ಗೋಲಿನಿಂದ ಪಂದ್ಯ ಡ್ರಾದಲ್ಲಿ ಕೊನೆಗೊಂಡಿತು,Negetive,Nutral,ಆದರೆ
43,ಕಳೆದ ನವೆಂಬರ್ನಲ್ಲಿ ಒಬಾಮ ಪತ್ನಿ ಮಿಶೆಲ್ ಜೊತೆ ದೇಶಕ್ಕೆ ನೀಡಿದ ಭೇಟಿ ಸಂದರ್ಭದಲ್ಲಿಯೇ ಅವರ ಪುತ್ರಿಯರು ಆಗಮಿಸಬೇಕಿತ್ತು ಆದರೆ ತರಗತಿಗಳು ನಡೆಯುತ್ತಿದ್ದರಿಂದ ಅದು ಸಾಧ್ಯವಾಗಿರಲಿಲ್ಲ,Nutral,Negetive,ಆದರೆ
44,'ದೇವರು ನಿಜಕ್ಕೂ ನಮಗೆ ಬೇಕು ಆದರೆ ಆತನಿಲ್ಲ ಅನ್ನುವುದೇ ನನ್ನ ದುಃಖ',Nutral,Negetive,ಆದರೆ
45,ದೇವರಿಲ್ಲ ಅನ್ನುವ ಅವರ ಆ ನಂಬಿಕೆಯೇ ಅವರನ್ನು ನೂರು ವರ್ಷ ಕಾಯಿತೇ? ಅಥವಾ ಅವನು ನಮಗೆ ಬೇಕು ಅನ್ನುವ ಹಂಬಲವೇ ಅವರನ್ನು ನೂರು ವರ್ಷ ಕಾಯುವಂತೆ ಮಾಡಿತೇ?,Nutral,Nutral,ಅಥವಾ
46,ಪಕ್ಷದ ಹೈಕಮಾಂಡ್ ನನ್ನ ಬಗ್ಗೆ ಒಲವು ಇಟ್ಟುಕೊಂಡಿದೆ ಆದ್ದರಿಂದ ಮುಂದಿನ ಚುನಾವಣೆಯೂ ನನ್ನ ನೇತೃತ್ವದಲ್ಲಿಯೇ ನಡೆಯಲಿದೆ ಎಂದು ತಿಳಿಸಿದ್ದಾರೆ,Positive,Positive,ಆದ್ದರಿಂದ
47,ಇತ್ತೀಚೆಗೆ ದೇವರ ಮೇಲೆ ಸಿದ್ದರಾಮಯ್ಯ ಅವರಿಗೆ ಭಕ್ತಿ ಬಂದಂತೆ ಕಾಣುತ್ತಿದೆ ಆದರೆ ಉಡುಪಿಗೆ ಭೇಟಿ ಕೊಟ್ಟ ಸಂದರ್ಭ ಶ್ರೀ ಕೃಷ್ಣ ದೇಗುಲಕ್ಕೆ ಭೇಟಿ ನೀಡಲು ಆಗಲಿಲ್ಲ ಎಂದು ಹೇಳಿಕೆ ನೀಡಿದ್ದಾರೆ,Positive,Negetive,ಆದರೆ
48,ಫ್ಲ್ಯಾಟ್ಗಳನ್ನು ಹಂಚಬೇಕಿತ್ತು ಆದರೆ ಇಲ್ಲಿಯವರೆಗೂ ಕಾಮಗಾರಿ ಪೂರ್ಣಗೊಂಡಿಲ್ಲ,Positive,Negetive,ಆದರೆ
49,ತೀವ್ರ ಪೆಟ್ಟು ಬಿದ್ದ ಅವರನ್ನು ಸಹ ಕಾರ್ಮಿಕರು ಸಮೀಪದ ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲಿಸಿದ್ದಾರೆ ಆದರೆ ಚಿಕಿತ್ಸೆಗೆ ಸ್ಪಂದಿಸದೆ ವಿಕಾಸ್ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,Positive,Negetive,ಆದರೆ
50,ಈ ಪಂದ್ಯದಲ್ಲಿ ಪಾರಮ್ಯ ಮೆರೆದಿದ್ದು ಇಂಡಿಯನ್ ನೇವಿ ಆದರೆ ಲಭಿಸಿದ ಅವಕಾಶಗಳನ್ನು ಗೋಲಾಗಿ ಪರಿವರ್ತಿಸುವಲ್ಲಿ ಎಡವಿದರು,Positive,Negetive,ಆದರೆ
51,ಸಿಬಿಐ ಮುಖ್ಯಸ್ಥರ ವಿರುದ್ಧ ಯಾವುದೇ ಕ್ರಮ ಕೈಗೊಳ್ಳುವ ಮೊದಲು ಆಯ್ಕೆ ಸಮಿತಿಯನ್ನು ಸಂಪರ್ಕಿಸುವ ನಿಯಮವಿದೆ ಆದರೆ ಸರಕಾರ ಈ ನಿಯಮ ಪಾಲಿಸಿಲ್ಲ,Nutral,Negetive,ಆದರೆ
52,ಜೋಸೆಫ್ ಇದಕ್ಕೆಂದು ಏಳು ಲಕ್ಷ ರೂಪಾಯಿ ಮುಗಿಸಿದ್ದಾರೆ ಆದರೆ ಸಣ್ಣ ಪ್ರಮಾಣದಲ್ಲಿ ಮಾಡುವುದಾದರೆ ಖರ್ಚು ತೀರ ಕಡಮೆ ಮಾಡಿ ಉತ್ತಮವಾಗಿ ಅಳವಡಿಸಬಹುದೆಂದು ಅವರೆನ್ನುತ್ತಾರೆ,Negetive,Positive,ಆದರೆ
