Sentence,Part1 Sentiment,Part2 Sentiment,Transition Word,part1_sentence,part2_sentence
ಇಂದು ಖಡ್ಗದ ಮೂಲಕ ಭಯೋತ್ಪಾದನೆ ಜೀವಹಿಂಸೆ ನಡೆಯುತ್ತಿದೆ ಆದರೆ ಬಸವಾದಿ ಶರಣರು ಲೇಖನಿ ಮೂಲಕ ರಕ್ತಪಾತರಹಿತ ಕ್ರಾಂತಿ ಮಾಡಿದರು,N,P,ಆದರೆ,ಇಂದು ಖಡ್ಗದ ಮೂಲಕ ಭಯೋತ್ಪಾದನೆ ಜೀವಹಿಂಸೆ ನಡೆಯುತ್ತಿದೆ,ಆದರೆ ಬಸವಾದಿ ಶರಣರು ಲೇಖನಿ ಮೂಲಕ ರಕ್ತಪಾತರಹಿತ ಕ್ರಾಂತಿ ಮಾಡಿದರು
ಜನ ಆಡಿಕೊಳ್ತಾರೆ ದೇಸಾಯಿ 80 ವರ್ಷ 70 ಮತ್ತು 50 ವರ್ಷದ ನಂತರದವರನ್ನೇ ಹಾಕಿಕೊಂಡು ಸಿನಿಮಾ ಮಾಡಿದ್ದಾರೆ ಅವರನ್ನೆಲ್ಲಾ ಇಟ್ಟುಕೊಂಡು ಎಂಥಾ ಸಿನಿಮಾ ಮಾಡಿದ್ದಾರೋ ಏನೋ ಎಂಬ ಮಾತುಗಳು ಕೇಳಿಬರುತ್ತಿವೆ ಆದರೆ ನೋಡ್ತಾ ಇರಿ ಅಂಥವರಿಗೆ ಈ ಚಿತ್ರ ಏನು ಅನ್ನೋದನ್ನು ಸಾಬೀತುಪಡಿಸುತ್ತೆ ಹಳಬರಾಗಿದ್ದರೂ ಇಲ್ಲಿ ಸೊಗಸು ಸೊಗಡಿದೆ ಅನುಭವಸ್ಥರ ಸಿನಿಮಾ ಆಗಿರುವುದರಿಂದ ನೋಡೋರಿಗೆ ಅಪ್ಪಟ ಮನರಂಜನೆ ಸಿಗುತ್ತೆ,N,P,ಆದರೆ,ಜನ ಆಡಿಕೊಳ್ತಾರೆ ದೇಸಾಯಿ 80 ವರ್ಷ 70 ಮತ್ತು 50 ವರ್ಷದ ನಂತರದವರನ್ನೇ ಹಾಕಿಕೊಂಡು ಸಿನಿಮಾ ಮಾಡಿದ್ದಾರೆ ಅವರನ್ನೆಲ್ಲಾ ಇಟ್ಟುಕೊಂಡು ಎಂಥಾ ಸಿನಿಮಾ ಮಾಡಿದ್ದಾರೋ ಏನೋ ಎಂಬ ಮಾತುಗಳು ಕೇಳಿಬರುತ್ತಿವೆ,ಆದರೆ ನೋಡ್ತಾ ಇರಿ ಅಂಥವರಿಗೆ ಈ ಚಿತ್ರ ಏನು ಅನ್ನೋದನ್ನು ಸಾಬೀತುಪಡಿಸುತ್ತೆ ಹಳಬರಾಗಿದ್ದರೂ ಇಲ್ಲಿ ಸೊಗಸು ಸೊಗಡಿದೆ ಅನುಭವಸ್ಥರ ಸಿನಿಮಾ ಆಗಿರುವುದರಿಂದ ನೋಡೋರಿಗೆ ಅಪ್ಪಟ ಮನರಂಜನೆ ಸಿಗುತ್ತೆ
ಊಟ ಹಂಚಿಕೊಂಡ ಮಾತ್ರಕ್ಕೆ ಭಾವನೆಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳಲು ಸಾದ್ಯ ಇಲ್ಲ ಆದರೆ ಭಾವನೆಗಳನ್ನು ಹಂಚಿಕೊಂಡವರು ಖಂಡಿತ ಊಟವನ್ನು ಹಂಚಿಕ್ಕೊಳ್ಳುತ್ತಾರೆ,N,P,ಆದರೆ,ಊಟ ಹಂಚಿಕೊಂಡ ಮಾತ್ರಕ್ಕೆ ಭಾವನೆಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳಲು ಸಾದ್ಯ ಇಲ್ಲ,ಆದರೆ ಭಾವನೆಗಳನ್ನು ಹಂಚಿಕೊಂಡವರು ಖಂಡಿತ ಊಟವನ್ನು ಹಂಚಿಕ್ಕೊಳ್ಳುತ್ತಾರೆ
ದ್ವಾರಕೀಶ್ ಅವರ ವಿಷ್ಣುವರ್ಧನ ಆಪ್ತಮಿತ್ರ ಚಿತ್ರಗಳು ಮುಖ್ಯ ಥಿಯೇಟರ್ ಸಂತೋಷ್ ನಲ್ಲಿ ತೆರೆ ಕಂಡಿದ್ದು ಯಶಸ್ವಿ ಪ್ರದರ್ಶನ ಕಂಡಿದೆ ಆದ್ದರಿಂದ ದ್ವಾರಕೀಶ್ ಅವರು ತುಂಬಾ ದಿನಗಳ ಹಿಂದೆಯೇ ಈ ಚಿತ್ರಮಂದಿರವನ್ನು ಬುಕ್ ಮಾಡಿಟ್ಟುಕೊಂಡಿದ್ದರಂತೆ,P,O,ಆದ್ದರಿಂದ,ದ್ವಾರಕೀಶ್ ಅವರ ವಿಷ್ಣುವರ್ಧನ ಆಪ್ತಮಿತ್ರ ಚಿತ್ರಗಳು ಮುಖ್ಯ ಥಿಯೇಟರ್ ಸಂತೋಷ್ ನಲ್ಲಿ ತೆರೆ ಕಂಡಿದ್ದು ಯಶಸ್ವಿ ಪ್ರದರ್ಶನ ಕಂಡಿದೆ,ಆದ್ದರಿಂದ ದ್ವಾರಕೀಶ್ ಅವರು ತುಂಬಾ ದಿನಗಳ ಹಿಂದೆಯೇ ಈ ಚಿತ್ರಮಂದಿರವನ್ನು ಬುಕ್ ಮಾಡಿಟ್ಟುಕೊಂಡಿದ್ದರಂತೆ
ಪುಸ್ತಕ ಪ್ರಕಟವಾದರೆ ಅವಳಿಗೆ ಒಂದು ದೊಡ್ಡ ರಿಲೀಫ್ ಅನಿಸಬಹುದು ಆದರೆ ಅವಳ ಖಾಯಿಲೆಯ ಸ್ವರೂಪ ನಮ್ಮೆಲ್ಲರಿಗೂ ಗೊತ್ತು ಎಲ್ಲದಕ್ಕೂ ನಾವು ಮಾನಸಿಕವಾಗಿ ಸಜ್ಜಾಗಲೇಬೇಕು ಎಂದಿದ್ದರು,P,O,ಆದರೆ,ಪುಸ್ತಕ ಪ್ರಕಟವಾದರೆ ಅವಳಿಗೆ ಒಂದು ದೊಡ್ಡ ರಿಲೀಫ್ ಅನಿಸಬಹುದು,ಆದರೆ ಅವಳ ಖಾಯಿಲೆಯ ಸ್ವರೂಪ ನಮ್ಮೆಲ್ಲರಿಗೂ ಗೊತ್ತು ಎಲ್ಲದಕ್ಕೂ ನಾವು ಮಾನಸಿಕವಾಗಿ ಸಜ್ಜಾಗಲೇಬೇಕು ಎಂದಿದ್ದರು
ಉತ್ತರದಿಂದ ಮತ್ತೆ ದಕ್ಷಿಣ ಭಾರತಕ್ಕೆ ನನ್ನ ಅಲೆದಾಟ ಕರೆ ತಂತು ಇಲ್ಲಿನ ಸುಂದರ ದೇಗುಲಗಳಲ್ಲಿ ದೇವರು ಇದ್ದಾನೋ ಇಲ್ಲವೋ ಆದರೆ ಅಲೌಕಿಕ ಅನ್ನಿಸುವ ಆಕರ್ಷಣೆ ಇತ್ತು,O,P,ಆದರೆ,ಉತ್ತರದಿಂದ ಮತ್ತೆ ದಕ್ಷಿಣ ಭಾರತಕ್ಕೆ ನನ್ನ ಅಲೆದಾಟ ಕರೆ ತಂತು ಇಲ್ಲಿನ ಸುಂದರ ದೇಗುಲಗಳಲ್ಲಿ ದೇವರು ಇದ್ದಾನೋ ಇಲ್ಲವೋ,ಆದರೆ ಅಲೌಕಿಕ ಅನ್ನಿಸುವ ಆಕರ್ಷಣೆ ಇತ್ತು
ಯೋಗಿಗಳನ್ನು ಕಂಡು ಅಲೆದಾಟ ನಿಲ್ಲಿಸಿ ಮತ್ತೆ ನನ್ನ ಹಿಂದಿನ ಬದುಕಿಗೆ ಮರಳುವ ವಿಚಾರ ತಿಳಿಸಿದೆ ಆದರೆ ನಾನು ಜೀವನವನ್ನು ನೋಡುವ ದೃಷ್ಟಿ ಬದಲಾಗಿದ್ದು ಅವರ ಗಮನಕ್ಕೆ ಬಂದಿದೆ ಎನ್ನುವಂತೆ ಮುಗುಳ್ನಕ್ಕು ಸಮ್ಮತಿ ಸೂಚಿಸಿದರು,O,P,ಆದರೆ,ಯೋಗಿಗಳನ್ನು ಕಂಡು ಅಲೆದಾಟ ನಿಲ್ಲಿಸಿ ಮತ್ತೆ ನನ್ನ ಹಿಂದಿನ ಬದುಕಿಗೆ ಮರಳುವ ವಿಚಾರ ತಿಳಿಸಿದೆ,ಆದರೆ ನಾನು ಜೀವನವನ್ನು ನೋಡುವ ದೃಷ್ಟಿ ಬದಲಾಗಿದ್ದು ಅವರ ಗಮನಕ್ಕೆ ಬಂದಿದೆ ಎನ್ನುವಂತೆ ಮುಗುಳ್ನಕ್ಕು ಸಮ್ಮತಿ ಸೂಚಿಸಿದರು
ಉತ್ತಮ ಪ್ರಾಜೆಕ್ಟ್ ಗಾಗಿ ಕಾಯುತ್ತಿದ್ದ ಆಕೆ ನಟನೆಗೆ ತಯಾರಿ ಮಾಡಿಕೊಳ್ಳುತ್ತಿದ್ದರು ಆದರೆ ರಾಜೇಂದ್ರ ಪೊನ್ನಪ್ಪ ಸಿನಿಮಾದಲ್ಲಿ ನಟಿಸಲು ಅಪೂರ್ವ ಎರಡನೇ ಮಾತಿಲ್ಲದೇ ಒಪ್ಪಿಕೊಂಡಿದ್ದಾರೆ,O,P,ಆದರೆ,ಉತ್ತಮ ಪ್ರಾಜೆಕ್ಟ್ ಗಾಗಿ ಕಾಯುತ್ತಿದ್ದ ಆಕೆ ನಟನೆಗೆ ತಯಾರಿ ಮಾಡಿಕೊಳ್ಳುತ್ತಿದ್ದರು,ಆದರೆ ರಾಜೇಂದ್ರ ಪೊನ್ನಪ್ಪ ಸಿನಿಮಾದಲ್ಲಿ ನಟಿಸಲು ಅಪೂರ್ವ ಎರಡನೇ ಮಾತಿಲ್ಲದೇ ಒಪ್ಪಿಕೊಂಡಿದ್ದಾರೆ
ನೀಲಿ ಬಣ್ಣದ ಹೂವನ್ನು ಶನಿದೇವರಿಗೆ ಅರ್ಪಿಸಲು ಆಗದವರು ಅದನ್ನು ನಿಮ್ಮ ಜೇಬಿನಲ್ಲಿಟ್ಟುಕೊಳ್ಳಿ ಅಥವಾ ಕರಿಎಳ್ಳನ್ನು ಜೇಬಿನಲ್ಲಿಟ್ಟುಕೊಂಡರೆ ದುಃಖ ದೌರ್ಭಾಗ್ಯಗಳು ದೂರವಾಗುತ್ತವೆ,O,P,ಅಥವಾ,ನೀಲಿ ಬಣ್ಣದ ಹೂವನ್ನು ಶನಿದೇವರಿಗೆ ಅರ್ಪಿಸಲು ಆಗದವರು ಅದನ್ನು ನಿಮ್ಮ ಜೇಬಿನಲ್ಲಿಟ್ಟುಕೊಳ್ಳಿ,ಅಥವಾ ಕರಿಎಳ್ಳನ್ನು ಜೇಬಿನಲ್ಲಿಟ್ಟುಕೊಂಡರೆ ದುಃಖ ದೌರ್ಭಾಗ್ಯಗಳು ದೂರವಾಗುತ್ತವೆ
ಪಕ್ಷ ಅವಕಾಶ ನೀಡಿದರೆ ಈ ಸಲ ಜೆಡಿಎಸ್ ನಿಂದ ಸ್ಪರ್ದಿಸುತ್ತೇನೆ ಒಂದು ವೇಳೆ ಟಿಕೇಟ್ ಸಿಗದೇ ಇದ್ದರೂ ಪಕ್ಷ ಹೇಳುವ ಅಭ್ಯರ್ಥಿಯ ಗೆಲುವಿಗಾಗಿ ದುಡಿಯುತ್ತೇನೆ,P,P,ಒಂದು ವೇಳೆ,ಪಕ್ಷ ಅವಕಾಶ ನೀಡಿದರೆ ಈ ಸಲ ಜೆಡಿಎಸ್ ನಿಂದ ಸ್ಪರ್ದಿಸುತ್ತೇನೆ,ಒಂದು ವೇಳೆ ಟಿಕೇಟ್ ಸಿಗದೇ ಇದ್ದರೂ ಪಕ್ಷ ಹೇಳುವ ಅಭ್ಯರ್ಥಿಯ ಗೆಲುವಿಗಾಗಿ ದುಡಿಯುತ್ತೇನೆ
